State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.7688902478948763	0.02249251421296543	0.0525649659213971	0.0	0.01682851907713196	0.004900151732316708	0.10729271324858367	0.014640192181915777	0.010214380647970367	0.002176315082842688
2	0.007983307723869373	0.7051547898721876	0.07350136154570287	0.0010050591619317783	0.0	0.0	0.0	0.0	0.19831747391601023	0.014038007780298158
3	0.041801767431891394	0.1727416062654572	0.718926603019163	0.0196004419526011	0.0	0.0	0.0074845920019218385	0.0	0.027678411598052108	0.011766577730913361
4	0.002727434724301542	0.007447715386734245	0.056981886479068204	0.8375310046315062	0.07462831266046754	0.0	0.019767646781824282	1.7757189847836175E-5	0.0	8.982421462500481E-4
5	0.030142411377230963	0.0	0.0	0.04852209290515591	0.7824076725069026	0.1349707447761227	7.372657744770814E-4	0.003164964130294491	0.0	5.484852981618865E-5
6	0.0020747974240596843	0.0	0.0	0.0	0.03254460906909942	0.928990048067254	0.03005851196317597	0.006229502583961479	0.0	1.0253089244940182E-4
7	0.017080059585519437	0.0	0.0	0.001260656777326961	7.622159074054389E-5	0.010163119105325904	0.9411711291003392	0.0227030446495827	0.0039005761135465595	0.0036451930776186755
8	0.004234048909777131	0.0	0.0	0.0	5.441055967195729E-4	0.003951853714308568	0.04382934918880678	0.9467958666676328	6.229439839777581E-5	5.824815243573086E-4
9	1.943130216805395E-4	0.009115484231374848	5.97204671314175E-4	0.0	0.0	0.0	4.2806783711355737E-4	6.134281886229753E-7	0.9865020751358847	0.0031622416744436998
10	0.004908840666577117	0.08297840591580542	0.027940632093761	8.187362455207334E-4	1.550246538142816E-4	4.563329343038581E-4	0.053527068498477666	0.004550919630193434	0.3966036926137412	0.4280603467478055
